United States (Hawaii),Miranda's Farm,Ka'u district of Big Island,Washed / Wet,7.92,7.83,7.75,7.92,7.5,7.67,7.75
Peru,Ruya Yayu Farm,Villa Rica,Washed / Wet,8,8,7.83,7.83,7.58,7.83,7.75
Guatemala,san francisco cotzal,quiche,Washed / Wet,7.58,7.92,7.58,7.83,7.75,7.67,7.75
Guatemala,SAN FRANCISCO COTZAL,QUICHE,Washed / Wet,7.58,7.83,7.58,7.67,7.58,7.58,7.75
Guatemala,San jose del lago,Atitlain,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,7.75
Guatemala,San jose del lago,Atitlain,Washed / Wet,7.58,7.83,7.58,7.75,7.67,7.75,7.75
Guatemala,SAN RAFAEL URIAS VALDES,ANTIGUA GUATEMALA,Washed / Wet,7.58,7.92,7.5,7.67,7.75,7.67,7.75
Brazil,Fazenda Conquista e Capoeirinha,Sul de Minas,Natural / Dry,7.58,7.5,7.5,7.83,7.67,7.5,7.67
Honduras,Maria Bonita,San Jose; La Paz,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,7.67
Honduras,finca de la casa,San Andreas; Lempira,Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,7.67
El Salvador,San Nicolas,Chalatenango,Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,7.67,7.67
Colombia,COO,Huila,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,7.67
Thailand,Doi Nan,Suan Ya Lung,Washed / Wet,7.67,7.67,7.5,7.67,7.58,7.67,7.67
Costa Rica,Gamboa Farm,Tarrazu,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.75,7.67
Uganda,Masereka William,Rwenzori,Washed / Wet,7.75,7.67,7.58,7.5,7.67,7.5,7.67
Ethiopia,YHAENU PLC FARM,OROMIA,Washed / Wet,7.42,7.42,7.42,8,7.92,7.67,7.67
Myanmar,Aromatic,South Shan State,Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,7.58
Thailand,Kevin Coffee,Chiang Mai,Natural / Dry,7.5,7.58,7.5,7.42,7.5,7.58,7.58
Laos,Nongluang Bolaven Plateau,Nongluang Bolaven Plateau; Champasack; Lao PDR,Natural / Dry,7.67,7.75,7.33,7.67,7.58,7.5,7.58
Colombia,La Gallera,Tolima,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,7.58
Vietnam,Apollo Estate,Dalat,Washed / Wet,7.5,7.5,7.33,7.5,7.5,7.42,7.58
Thailand,Doi Tung Development Project,North of Thailand,Washed / Wet,7.42,7.83,7.58,7.67,7.67,7.75,7.58
Colombia,El Laurel,Sierra Nevada de Santa Marta,Washed / Wet,7.67,7.67,7.42,7.75,7.5,7.75,7.58
Colombia,La Argentina,Quindio,Washed / Wet,7.58,7.5,7.5,7.67,7.58,7.5,7.58
Honduras,La Cuchilla,Centro; Lagunetillas - Ajuterique; Comayagua,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,7.58
Colombia,La fortaleza,Popayain Cauca,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,7.58
Colombia,Buenos Aires,Quindio,Anaerobic 1000h,7.67,7.67,7.58,7.67,7.58,7.58,7.5
Honduras,Bethel,Los Planes de Santa Maria; La Paz,Washed / Wet,7.75,7.58,7.58,7.58,7.58,7.5,7.5
Honduras,Bethel,los planes de santa maria la paz,Washed / Wet,7.67,7.58,7.33,7.5,7.58,7.5,7.5
Colombia,Federacionn Nacional de Cafeteros de Colombia,Huila,Washed / Wet,7.58,7.67,7.58,7.5,7.33,7.5,7.5
Mexico,Finca Tequihua,ZONGOLICA; VERACRUZ,Washed / Wet,7.75,7.5,7.42,7.67,7.58,7.5,7.5
United States (Hawaii),Kainaliu Farm,Kona,Washed / Wet,7.33,7.58,7.5,7.5,7.5,7.58,7.5
Kenya,Kenyan Highlands,Kericho,Washed / Wet,7.5,7.5,7.42,7.5,7.25,7.5,7.5
Honduras,La Bendicion,Marcala; La Paz,Washed / Wet,7.67,7.75,7.67,7.58,7.5,7.58,7.5
Honduras,La Cuchilla,Centro; Lagunetillas - Ajuterique; Comayagua,Washed / Wet,7.58,7.58,7.33,7.5,7.58,7.42,7.5
Tanzania; United Republic Of,MASHIMA AMCOS,KILIMANJARO,Washed / Wet,7.92,7.67,7.42,7.5,7.67,7.58,7.5
Guatemala,MI CAFECITO & LA PROVIDENCIA,NEW ORIENTE & HUEHUETENANGO,Washed / Wet,7.5,7.75,7.58,7.75,7.67,7.58,7.5
Costa Rica,San Diego Mill,Corralillo Tarrazu,Washed / Wet,7.42,7.42,7.42,7.33,7.58,7.33,7.5
Costa Rica,AMA EL AROMA Micro lot - Sunrise,west Villege,Pulped natural / honey,7.33,7.5,7.25,7.92,7.75,7.58,7.42
Brazil,Sitio Colinas,Mantiquira de minas,Pulped natural / honey,7.5,7.5,7.42,7.33,7.33,7.33,7.42
Indonesia,Wahana Graha Makmur,Sumatra,Pulped natural / honey,7.67,7.33,7.25,7.67,7.42,7.25,7.42
El Salvador,Agua Caliente,Apaneca - Ilamatepec,Washed / Wet,7.5,7.5,7.42,7.42,7.42,7.67,7.42
Thailand,Doi Tung Development Project,North of Thailand,Washed / Wet,7.17,7.92,7.58,7.5,7.58,7.67,7.42
Thailand,Doi Tung Development Project,North of Thailand,Washed / Wet,7.17,7.5,7.42,7.42,7.58,7.5,7.42
Nicaragua,Finca Aurora,Matagalpa; Nicaragua,Washed / Wet,7.58,7.58,7.42,7.42,7.5,7.5,7.42
Nicaragua,Finca Las Dos Marias,ESTELI,Washed / Wet,7.5,7.58,7.42,7.58,7.5,7.58,7.42
Panama,Finca Lerida,Boquete,Washed / Wet,7.75,7.67,7.17,7.67,7.42,7.42,7.42
Peru,Fundo La Libertad,Chanchamayo; La Merced,Washed / Wet,7.5,7.5,7.33,7.5,7.33,7.33,7.42
Costa Rica,HACIENDA SAN IGNACIO,occidente,Washed / Wet,7.33,7.42,7.25,7.42,7.42,7.33,7.42
Honduras,La Cuchilla,Centro; Lagunetillas - Ajuterique; Comayagua,Washed / Wet,7.67,7.5,7.25,7.5,7.5,7.33,7.42
Brazil,Fazenda Olhos Dagua,Sul de Minas,Natural / Dry,7.42,7.5,7.58,7.33,7.33,7.25,7.33
Brazil,Fazenda Pedra Preta,MANTIQUEIRA / SUL DE MINAS,Natural / Dry,7.5,7.58,7.5,7.5,7.67,7.42,7.33
Nicaragua,Finca San Felipe,Matagalpa,Natural / Dry,7.33,7.58,7.25,7.33,7.75,8.17,7.33
